Date : 2021-06-18 15:44:23
Directory : c:\Users\Vlad\Desktop\Segregare\frontend_update
Total : 101 files,  40090 codes, 174 comments, 1003 blanks, all 41267 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
+------------+------------+------------+------------+------------+------------+
| JSON       |          8 |     33,755 |         38 |          7 |     33,800 |
| XML        |          3 |      2,679 |          0 |          1 |      2,680 |
| TypeScript |         39 |      1,805 |         78 |        536 |      2,419 |
| HTML       |         18 |      1,074 |         10 |        286 |      1,370 |
| CSS        |         18 |        722 |         46 |        158 |        926 |
| JavaScript |         14 |         41 |          2 |          1 |         44 |
| Markdown   |          1 |         14 |          0 |         14 |         28 |
+------------+------------+------------+------------+------------+------------+

Directories
+------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                   | files      | code       | comment    | blank      | total      |
+------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                      |        101 |     40,090 |        174 |      1,003 |     41,267 |
| dist                                                                                                                   |         18 |      2,717 |         44 |          8 |      2,769 |
| dist\frontend                                                                                                          |         18 |      2,717 |         44 |          8 |      2,769 |
| src                                                                                                                    |         77 |      3,653 |         92 |        977 |      4,722 |
| src\app                                                                                                                |         66 |      3,511 |         18 |        941 |      4,470 |
| src\app\add                                                                                                            |          3 |        110 |          0 |         37 |        147 |
| src\app\home                                                                                                           |          3 |         14 |          0 |         10 |         24 |
| src\app\intrebari                                                                                                      |          3 |        116 |          0 |         27 |        143 |
| src\app\login                                                                                                          |          3 |        100 |          2 |         28 |        130 |
| src\app\models                                                                                                         |          8 |        119 |          0 |         17 |        136 |
| src\app\shared                                                                                                         |          6 |        289 |          6 |        103 |        398 |
| src\app\test                                                                                                           |          3 |         43 |          5 |         24 |         72 |
| src\app\unitati                                                                                                        |         31 |      2,479 |          0 |        648 |      3,127 |
| src\app\unitati\clase-modal                                                                                            |          4 |        403 |          0 |        104 |        507 |
| src\app\unitati\extra-unitate-modal                                                                                    |          3 |        327 |          0 |         83 |        410 |
| src\app\unitati\info-modal                                                                                             |          3 |        147 |          0 |         38 |        185 |
| src\app\unitati\info-unitate-modal                                                                                     |          3 |        307 |          0 |         75 |        382 |
| src\app\unitati\organizare-modal                                                                                       |          3 |        188 |          0 |         56 |        244 |
| src\app\unitati\organizareb-modal                                                                                      |          3 |        196 |          0 |         52 |        248 |
| src\app\unitati\organizarec-modal                                                                                      |          3 |        218 |          0 |         49 |        267 |
| src\app\unitati\organizared-modal                                                                                      |          3 |        186 |          0 |         53 |        239 |
| src\app\unitati\pdf-modal                                                                                              |          3 |        214 |          0 |         71 |        285 |
| src\environments                                                                                                       |          2 |          6 |         11 |          4 |         21 |
+------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| filename                                                                                                               | language   | code       | comment    | blank      | total      |
+------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
